run,modelname,treatname,angle,spd,lscale
20120608135349,nothing,lrg,0,0,31.3822440088
20120608135349,nothing,lrg,0,50,0.994539625783
20120608135349,nothing,lrg,0,170,4.03777560857
20120608135349,nothing,lrg,0,100,3.24462354057
20120608135349,nothing,lrg,0,20,0.717058858032
20120608135349,nothing,lrg,0,30,0.215215575547
20120608135349,nothing,lrg,0,180,4.19250200209
20120608135349,nothing,lrg,0,160,2.53550731916
20120608135349,nothing,lrg,0,90,3.50878062228
20120608135349,nothing,lrg,0,250,3.11442723179
20120608135349,nothing,lrg,0,190,3.55838166231
20120608135349,nothing,lrg,0,120,6.09721985819
20120608135349,nothing,lrg,0,150,3.43779288014
20120608135349,nothing,lrg,0,200,4.28187360605
20120608135349,nothing,lrg,0,80,2.87296076925
20120608135349,nothing,lrg,0,140,3.056144575
20120608135349,nothing,lrg,0,40,2.69030288052
20120608135349,nothing,lrg,0,230,3.39098406148
20120608135349,nothing,lrg,0,130,2.57266401086
20120608135349,nothing,lrg,0,70,5.18993812195
20120608135349,nothing,lrg,0,220,3.66467468279
20120608135349,nothing,lrg,0,210,3.89988247436
20120608135349,nothing,lrg,0,10,3.50359822522
20120608135349,nothing,lrg,0,110,2.98817879043
20120609124131,nothing,fine,0,180,575.340289964
20120609124131,nothing,fine,0,20,169.515567788
20120609124131,nothing,fine,0,30,157.82886608
20120609124131,nothing,fine,0,220,1157.46711029
20120609124131,nothing,fine,0,160,1663.55832199
20120609124131,nothing,fine,0,230,933.894889164
20120609124131,nothing,fine,0,130,1359.97463962
20120609124131,nothing,fine,0,70,1077.59567339
20120609124131,nothing,fine,0,0,16.3484760077
20120609124131,nothing,fine,0,60,271.530660985
20120609124131,nothing,fine,0,100,1261.1681422
20120609124131,nothing,fine,0,250,576.253047054
20120609124131,nothing,fine,0,240,418.935598918
20120609124131,nothing,fine,0,40,333.307580934
20120609124131,nothing,fine,0,200,365.044442075
20120609124131,nothing,fine,0,140,32.5663636743
20120609124131,nothing,fine,0,210,308.719318373
20120609124131,nothing,fine,0,120,989.387492367
20120609124131,nothing,fine,0,150,518.047944641
20120609124131,nothing,fine,0,0,16.3484760077
20120609124131,nothing,fine,0,190,246.097503447
20120609124131,nothing,fine,0,90,211.069035486
20120609124131,nothing,fine,0,80,223.370896854
20120609124131,nothing,fine,0,110,1110.92283024
20120609124131,nothing,fine,0,170,534.011511595
20120609124131,nothing,fine,0,50,218.496997046
20120608115455,nothing,med,0,230,16.6134706306
20120608115455,nothing,med,0,240,5.59493364538
20120608115455,nothing,med,0,210,8.60195750117
20120608115455,nothing,med,0,150,4.77940730136
20120608115455,nothing,med,0,110,2.2566763177
20120608115455,nothing,med,0,100,1.69057811858
20120608115455,nothing,med,0,50,1.76831094765
20120608115455,nothing,med,0,140,2.06271423287
20120608115455,nothing,med,0,40,1.28168209872
20120608115455,nothing,med,0,160,8.90882767002
20120608115455,nothing,med,0,170,7.0057166538
20120608115455,nothing,med,0,220,16.1884090004
20120608115455,nothing,med,0,200,8.612456348
20120608115455,nothing,med,0,20,1.23710324521
20120608115455,nothing,med,0,130,3.62103613395
20120608115455,nothing,med,0,90,1.95061166942
20120608115455,nothing,med,0,80,1.62392826674
20120608115455,nothing,med,0,250,16.3295416587
20120608115455,nothing,med,0,60,1.29765726277
20120608115455,nothing,med,0,10,5.67934652228
20120608115455,nothing,med,0,70,1.18381733339
20120608115455,nothing,med,0,120,1.66612672579
20120608115455,nothing,med,0,30,1.74607301637
20120608115455,nothing,med,0,180,19.8967385409
20120608115455,nothing,med,0,190,6.8814005947
20120609105620,nothing,coarse,0,130,21.619623052
20120609105620,nothing,coarse,0,80,37.0146107332
20120609105620,nothing,coarse,0,120,174.44686637
20120609105620,nothing,coarse,0,20,45.585908653
20120609105620,nothing,coarse,0,90,109.304355571
20120609105620,nothing,coarse,0,70,144.433659541
20120609105620,nothing,coarse,0,240,41.9582107872
20120609105620,nothing,coarse,0,10,14.4601745896
20120609105620,nothing,coarse,0,230,32.161400322
20120609105620,nothing,coarse,0,50,241.37818256
20120609105620,nothing,coarse,0,110,316.725178912
20120609105620,nothing,coarse,0,150,13.0778463991
20120609105620,nothing,coarse,0,200,175.336273836
20120609105620,nothing,coarse,0,140,29.170256145
20120609105620,nothing,coarse,0,60,115.360746209
20120609105620,nothing,coarse,0,160,32.6639122717
20120609105620,nothing,coarse,0,210,99.2970578513
20120609105620,nothing,coarse,0,220,37.7219315818
20120609105620,nothing,coarse,0,170,243.85765566
20120609105620,nothing,coarse,0,190,31.3876636215
20120609105620,nothing,coarse,0,180,37.4551891046
20120609105620,nothing,coarse,0,250,47.941909603
20120609105620,nothing,coarse,0,100,732.794618285
20120609105620,nothing,coarse,0,30,212.136227809
20120608100005,nothing,sml,0,60,1.18494063508
20120608100005,nothing,sml,0,130,2.63370451031
20120608100005,nothing,sml,0,220,8.6484094623
20120608100005,nothing,sml,0,30,1.31583549955
20120608100005,nothing,sml,0,100,1.13321079719
20120608100005,nothing,sml,0,240,11.8901189509
20120608100005,nothing,sml,0,80,0.89196536758
20120608100005,nothing,sml,0,200,19.6714174502
20120608100005,nothing,sml,0,0,8.43741493619
20120608100005,nothing,sml,0,120,1.74351986515
20120608100005,nothing,sml,0,50,0.962317676533
20120608100005,nothing,sml,0,170,18.643759288
20120608100005,nothing,sml,0,180,20.4280754182
20120608100005,nothing,sml,0,70,0.78475205129
20120608100005,nothing,sml,0,110,1.27841324543
20120608100005,nothing,sml,0,20,1.21909622235
20120608100005,nothing,sml,0,90,0.964036793482
