run,modelname,treatname,angle,spd,channel,variable,mean
20120608081307,nothing,no,0,250,V,mu_2,-7.1389911443
20120608081307,nothing,no,0,250,W,mu_3,0.00919430456676
20120608081307,nothing,no,0,190,U,mu_1,-0.0101840597326
20120608081307,nothing,no,0,190,V,mu_2,-5.27606876194
20120608081307,nothing,no,0,190,W,mu_3,0.0153446778955
20120608135349,nothing,lrg,0,110,U,mu_1,0.0743879145685
20120608135349,nothing,lrg,0,110,V,mu_2,0.532007292933
20120608135349,nothing,lrg,0,110,W,mu_3,-0.128466747699
20120608135349,nothing,lrg,0,180,U,mu_1,0.148498263889
20120608135349,nothing,lrg,0,180,V,mu_2,0.997026041667
20120608135349,nothing,lrg,0,180,W,mu_3,-0.138008680556
20120608135349,nothing,lrg,0,80,U,mu_1,0.0382809515541
20120608135349,nothing,lrg,0,80,V,mu_2,0.349275915958
20120608135349,nothing,lrg,0,80,W,mu_3,-0.112786942177
20120608135349,nothing,lrg,0,40,U,mu_1,0.0432673611111
20120608135349,nothing,lrg,0,40,V,mu_2,0.0893333333333
20120608135349,nothing,lrg,0,40,W,mu_3,-0.0394375
20120608135349,nothing,lrg,0,30,U,mu_1,0.0495572147942
20120608135349,nothing,lrg,0,30,V,mu_2,-0.00804827226949
20120608135349,nothing,lrg,0,30,W,mu_3,0.001272790415
20120608135349,nothing,lrg,0,150,U,mu_1,0.125415870811
20120608135349,nothing,lrg,0,150,V,mu_2,0.784545928113
20120608135349,nothing,lrg,0,150,W,mu_3,-0.132922382358
20120608135349,nothing,lrg,0,240,U,mu_1,0.130309027778
20120608135349,nothing,lrg,0,240,V,mu_2,1.38420486111
20120608135349,nothing,lrg,0,240,W,mu_3,-0.156032986111
20120608135349,nothing,lrg,0,200,U,mu_1,0.156504601493
20120608135349,nothing,lrg,0,200,V,mu_2,1.13594026741
20120608135349,nothing,lrg,0,200,W,mu_3,-0.144202118423
20120608135349,nothing,lrg,0,170,U,mu_1,0.155885416667
20120608135349,nothing,lrg,0,170,V,mu_2,0.910762152778
20120608135349,nothing,lrg,0,170,W,mu_3,-0.122671875
20120608135349,nothing,lrg,0,160,U,mu_1,0.147027777778
20120608135349,nothing,lrg,0,160,V,mu_2,0.845633680556
20120608135349,nothing,lrg,0,160,W,mu_3,-0.131532986111
20120608135349,nothing,lrg,0,210,U,mu_1,0.162345486111
20120608135349,nothing,lrg,0,210,V,mu_2,1.20505902778
20120608135349,nothing,lrg,0,210,W,mu_3,-0.141734375
20120608135349,nothing,lrg,0,230,U,mu_1,0.161804132662
20120608135349,nothing,lrg,0,230,V,mu_2,1.31133182844
20120608135349,nothing,lrg,0,230,W,mu_3,-0.167305087689
20120608135349,nothing,lrg,0,120,U,mu_1,0.0912274305556
