run,modelname,treatname,angle,spd,kcenterfreq,value
20120628072400,nothing,med,0,100,4096.0,7.49267733819e-08
20120628072400,nothing,med,0,100,8192.0,2.14825532291e-08
20120628072400,nothing,med,0,100,16384.0,nan
20120628072400,nothing,med,0,50,8.0,6.04333108269e-05
20120628072400,nothing,med,0,50,16.0,7.8792508303e-05
20120628072400,nothing,med,0,50,32.0,2.97196078565e-05
20120628072400,nothing,med,0,50,64.0,2.37927625439e-05
20120628072400,nothing,med,0,50,128.0,2.62988421773e-06
20120628072400,nothing,med,0,50,256.0,9.38323459947e-07
20120628072400,nothing,med,0,50,512.0,3.2038757315e-06
20120628072400,nothing,med,0,50,1024.0,3.76168476578e-07
20120628072400,nothing,med,0,50,2048.0,4.28975094747e-07
20120628072400,nothing,med,0,50,4096.0,6.93218259537e-08
20120628072400,nothing,med,0,50,8192.0,6.21607876046e-08
20120628072400,nothing,med,0,50,16384.0,4.19847505936e-08
20120628072400,nothing,coarse,0,100,8.0,0.000112234875469
20120628072400,nothing,coarse,0,100,16.0,0.000138214391415
20120628072400,nothing,coarse,0,100,32.0,7.77696910535e-05
20120628072400,nothing,coarse,0,100,64.0,7.91032910755e-06
20120628072400,nothing,coarse,0,100,128.0,5.29572183583e-06
20120628072400,nothing,coarse,0,100,256.0,9.21689800779e-07
20120628072400,nothing,coarse,0,100,512.0,2.01445679215e-06
20120628072400,nothing,coarse,0,100,1024.0,2.57650688657e-06
20120628072400,nothing,coarse,0,100,2048.0,1.22762684532e-07
20120628072400,nothing,coarse,0,100,4096.0,7.54827705191e-08
20120628072400,nothing,coarse,0,100,8192.0,1.86698626686e-08
20120628072400,nothing,coarse,0,100,16384.0,nan
20120628072400,nothing,sml,0,250,8.0,0.183925344901
20120628072400,nothing,sml,0,250,16.0,0.0983651621275
20120628072400,nothing,sml,0,250,32.0,0.0290498229466
20120628072400,nothing,sml,0,250,64.0,0.00710148665329
20120628072400,nothing,sml,0,250,128.0,0.00082807165486
