run,modelname,treatname,angle,spd,channel,variable,mean
20120518174502,hippocampus,coarse,0,100,TY,mu_5,0.0307047089241
20120518174502,hippocampus,coarse,0,100,TZ,mu_6,0.00743627537038
20120519153945,pong6,fine,0,250,FX,mu_1,-0.00141208660165
20120519153945,pong6,fine,0,250,FY,mu_2,-0.00403245433937
20120519153945,pong6,fine,0,250,FZ,mu_3,7.18996152794e-05
20120519153945,pong6,fine,0,250,TX,mu_4,0.127101140303
20120519153945,pong6,fine,0,250,TY,mu_5,0.00817360613323
20120519153945,pong6,fine,0,250,TZ,mu_6,-0.00230160290162
20120519153945,pong6,fine,0,0,FX,mu_1,0.00103058541841
20120519153945,pong6,fine,0,0,FY,mu_2,0.000676955191493
20120519153945,pong6,fine,0,0,FZ,mu_3,-0.00518812448017
20120519153945,pong6,fine,0,0,TX,mu_4,0.00990108835516
20120519153945,pong6,fine,0,0,TY,mu_5,-0.00309058755848
20120519153945,pong6,fine,0,0,TZ,mu_6,0.00248577453508
20120519153945,pong6,fine,0,50,FX,mu_1,0.000970057068512
20120519153945,pong6,fine,0,50,FY,mu_2,-0.000596666061801
20120519153945,pong6,fine,0,50,FZ,mu_3,0.00542479634073
20120519153945,pong6,fine,0,50,TX,mu_4,-0.00484315074913
20120519153945,pong6,fine,0,50,TY,mu_5,-0.00919553226105
20120519153945,pong6,fine,0,50,TZ,mu_6,-0.0090327574081
20120519153945,pong6,fine,0,150,FX,mu_1,-0.00120985950341
20120519153945,pong6,fine,0,150,FY,mu_2,-0.0017086397462
20120519153945,pong6,fine,0,150,FZ,mu_3,0.0010552872678
20120519153945,pong6,fine,0,150,TX,mu_4,0.0354336766423
20120519153945,pong6,fine,0,150,TY,mu_5,0.00425996974724
20120519153945,pong6,fine,0,150,TZ,mu_6,0.00605466619121
20120519153945,pong6,fine,0,200,FX,mu_1,-0.00120475707132
20120519153945,pong6,fine,0,200,FY,mu_2,-0.00228188509883
20120519153945,pong6,fine,0,200,FZ,mu_3,-0.0015153760756
20120519153945,pong6,fine,0,200,TX,mu_4,0.0827329686262
20120519153945,pong6,fine,0,200,TY,mu_5,0.00735607524918
20120519153945,pong6,fine,0,200,TZ,mu_6,0.00489326396678
20120519153945,pong6,fine,0,100,FX,mu_1,-0.000511025361289
20120519153945,pong6,fine,0,100,FY,mu_2,-0.00129344608663
20120519153945,pong6,fine,0,100,FZ,mu_3,0.00300318008789
20120519153945,pong6,fine,0,100,TX,mu_4,0.00510105168836
20120519153945,pong6,fine,0,100,TY,mu_5,-0.00190683308568
20120519153945,pong6,fine,0,100,TZ,mu_6,0.00644202142985
20120521113654,rect690,med,0,50,FX,mu_1,-0.000788974681605
20120521113654,rect690,med,0,50,FY,mu_2,-0.0017281580982
20120521113654,rect690,med,0,50,FZ,mu_3,0.00750947605392
20120521113654,rect690,med,0,50,TX,mu_4,-0.0118933825119
20120521113654,rect690,med,0,50,TY,mu_5,0.000824980954155
20120521113654,rect690,med,0,50,TZ,mu_6,-0.00894184956588
20120521113654,rect690,med,0,100,FX,mu_1,-0.00146765708194
20120521113654,rect690,med,0,100,FY,mu_2,-0.00308769490697
20120521113654,rect690,med,0,100,FZ,mu_3,0.00610151130686
20120521113654,rect690,med,0,100,TX,mu_4,0.00584305758116
20120521113654,rect690,med,0,100,TY,mu_5,0.00251155735832
20120521113654,rect690,med,0,100,TZ,mu_6,-0.0131829081277
20120521113654,rect690,med,0,0,FX,mu_1,0.00175726217413
20120521113654,rect690,med,0,0,FY,mu_2,0.000270013155992
20120521113654,rect690,med,0,0,FZ,mu_3,-0.00600136210222
20120521113654,rect690,med,0,0,TX,mu_4,0.00632844832871
20120521113654,rect690,med,0,0,TY,mu_5,-0.0100864661597
20120521113654,rect690,med,0,0,TZ,mu_6,0.00740088789997
20120521113654,rect690,med,0,150,FX,mu_1,-0.00125425072366
20120521113654,rect690,med,0,150,FY,mu_2,-0.00486321494662
20120521113654,rect690,med,0,150,FZ,mu_3,0.00387762313107
20120521113654,rect690,med,0,150,TX,mu_4,0.0512911958333
20120521113654,rect690,med,0,150,TY,mu_5,0.0314939275405
20120521113654,rect690,med,0,150,TZ,mu_6,-0.0275484149665
20120521113654,rect690,med,0,250,FX,mu_1,-0.00170893452589
20120521113654,rect690,med,0,250,FY,mu_2,-0.0126696307055
20120521113654,rect690,med,0,250,FZ,mu_3,0.0148520667499
20120521113654,rect690,med,0,250,TX,mu_4,0.212202759055
20120521113654,rect690,med,0,250,TY,mu_5,0.0437853321077
20120521113654,rect690,med,0,250,TZ,mu_6,-0.102693459491
20120521113654,rect690,med,0,200,FX,mu_1,-0.000493462237901
