run,modelname,treatname,angle,spd,from,to,variable,cov
20120520153009,pong290,fine,0,150,FX,FZ,C_13,6.18606039869e-07
20120520153009,pong290,fine,0,150,FX,TX,C_14,4.68703168062e-06
20120520153009,pong290,fine,0,150,FX,TY,C_15,-5.17681233837e-06
20120520153009,pong290,fine,0,150,FX,TZ,C_16,4.10090952905e-07
20120520153009,pong290,fine,0,150,FY,FY,C_22,3.43270132905e-06
20120520153009,pong290,fine,0,150,FY,FZ,C_23,-5.94476680157e-07
20120520153009,pong290,fine,0,150,FY,TX,C_24,2.16758215803e-07
20120520153009,pong290,fine,0,150,FY,TY,C_25,1.60728891867e-05
20120520153009,pong290,fine,0,150,FY,TZ,C_26,-1.65221519056e-06
20120520153009,pong290,fine,0,150,FZ,FZ,C_33,9.39484654408e-06
20120520153009,pong290,fine,0,150,FZ,TX,C_34,-8.73109908431e-06
20120520153009,pong290,fine,0,150,FZ,TY,C_35,-2.10667938487e-06
20120520153009,pong290,fine,0,150,FZ,TZ,C_36,-1.35056671289e-05
20120520153009,pong290,fine,0,150,TX,TX,C_44,0.000298335467769
20120520153009,pong290,fine,0,150,TX,TY,C_45,3.23877138233e-05
20120520153009,pong290,fine,0,150,TX,TZ,C_46,3.18072821205e-06
20120520153009,pong290,fine,0,150,TY,TY,C_55,0.00023190528735
20120520153009,pong290,fine,0,150,TY,TZ,C_56,-9.13860606663e-06
20120520153009,pong290,fine,0,150,TZ,TZ,C_66,0.00012023117193
20120520153009,pong290,fine,0,0,FX,FX,C_11,2.53279027973e-06
20120520153009,pong290,fine,0,0,FX,FY,C_12,-6.93351706016e-07
20120520153009,pong290,fine,0,0,FX,FZ,C_13,-3.95912496788e-07
20120520153009,pong290,fine,0,0,FX,TX,C_14,1.3820459969e-05
20120520153009,pong290,fine,0,0,FX,TY,C_15,-4.77079224715e-06
20120520153009,pong290,fine,0,0,FX,TZ,C_16,9.03236593273e-07
20120520153009,pong290,fine,0,0,FY,FY,C_22,2.59396939155e-06
20120520153009,pong290,fine,0,0,FY,FZ,C_23,3.08322438546e-07
20120520153009,pong290,fine,0,0,FY,TX,C_24,-2.01550587802e-07
20120520153009,pong290,fine,0,0,FY,TY,C_25,1.85717063439e-05
20120520153009,pong290,fine,0,0,FY,TZ,C_26,-2.14134125839e-06
20120520153009,pong290,fine,0,0,FZ,FZ,C_33,8.98989865218e-06
20120520153009,pong290,fine,0,0,FZ,TX,C_34,-1.03358782573e-05
20120520153009,pong290,fine,0,0,FZ,TY,C_35,-1.33717571933e-06
20120520153009,pong290,fine,0,0,FZ,TZ,C_36,-6.69043594603e-06
20120520153009,pong290,fine,0,0,TX,TX,C_44,0.000254910329503
20120520153009,pong290,fine,0,0,TX,TY,C_45,3.26102239874e-05
20120520153009,pong290,fine,0,0,TX,TZ,C_46,4.39361080457e-06
20120520153009,pong290,fine,0,0,TY,TY,C_55,0.000212300873588
20120520153009,pong290,fine,0,0,TY,TZ,C_56,-1.31473564771e-05
20120520153009,pong290,fine,0,0,TZ,TZ,C_66,9.12201467503e-05
20120520153009,pong290,fine,0,200,FX,FX,C_11,1.02392948536e-05
20120520153009,pong290,fine,0,200,FX,FY,C_12,-1.29439897948e-06
20120520153009,pong290,fine,0,200,FX,FZ,C_13,1.90501943884e-06
20120520153009,pong290,fine,0,200,FX,TX,C_14,-2.77242723442e-05
20120520153009,pong290,fine,0,200,FX,TY,C_15,-2.86073180797e-06
20120520153009,pong290,fine,0,200,FX,TZ,C_16,1.13671505207e-06
20120520153009,pong290,fine,0,200,FY,FY,C_22,5.31218650346e-06
20120520153009,pong290,fine,0,200,FY,FZ,C_23,-1.80379338077e-06
20120520153009,pong290,fine,0,200,FY,TX,C_24,3.03383846233e-06
20120520153009,pong290,fine,0,200,FY,TY,C_25,9.04842243672e-06
20120520153009,pong290,fine,0,200,FY,TZ,C_26,-3.18945846588e-06
20120520153009,pong290,fine,0,200,FZ,FZ,C_33,1.21720111276e-05
20120520153009,pong290,fine,0,200,FZ,TX,C_34,-1.51850572497e-05
20120520153009,pong290,fine,0,200,FZ,TY,C_35,3.71378494014e-06
20120520153009,pong290,fine,0,200,FZ,TZ,C_36,-9.03056633713e-06
20120520153009,pong290,fine,0,200,TX,TX,C_44,0.000493338511562
20120520153009,pong290,fine,0,200,TX,TY,C_45,1.9446684268e-05
20120520153009,pong290,fine,0,200,TX,TZ,C_46,6.42211645349e-06
20120520153009,pong290,fine,0,200,TY,TY,C_55,0.000260975927941
20120520153009,pong290,fine,0,200,TY,TZ,C_56,-1.04717144043e-05
20120520153009,pong290,fine,0,200,TZ,TZ,C_66,0.000111407254559
20120520153009,pong290,fine,0,50,FX,FX,C_11,2.59976210913e-06
20120520153009,pong290,fine,0,50,FX,FY,C_12,-6.6635014665e-07
20120520153009,pong290,fine,0,50,FX,FZ,C_13,-6.89726753087e-08
20120520153009,pong290,fine,0,50,FX,TX,C_14,1.26420888239e-05
20120520153009,pong290,fine,0,50,FX,TY,C_15,-4.4664949379e-06
20120520153009,pong290,fine,0,50,FX,TZ,C_16,8.22993158246e-07
20120520153009,pong290,fine,0,50,FY,FY,C_22,2.58964901808e-06
20120520153009,pong290,fine,0,50,FY,FZ,C_23,-3.75396861682e-07
20120520153009,pong290,fine,0,50,FY,TX,C_24,1.04442631672e-06
20120520153009,pong290,fine,0,50,FY,TY,C_25,1.84380966143e-05
20120520153009,pong290,fine,0,50,FY,TZ,C_26,-2.11873281979e-06
20120520153009,pong290,fine,0,50,FZ,FZ,C_33,1.05469779652e-05
20120520153009,pong290,fine,0,50,FZ,TX,C_34,-8.00623791655e-06
20120520153009,pong290,fine,0,50,FZ,TY,C_35,-4.83094279586e-06
20120520153009,pong290,fine,0,50,FZ,TZ,C_36,-1.39179775016e-05
20120520153009,pong290,fine,0,50,TX,TX,C_44,0.000249351114489
20120520153009,pong290,fine,0,50,TX,TY,C_45,3.6929802724e-05
20120520153009,pong290,fine,0,50,TX,TZ,C_46,4.0278738764e-06
20120520153009,pong290,fine,0,50,TY,TY,C_55,0.000215602662239
20120520153009,pong290,fine,0,50,TY,TZ,C_56,-1.5229258735e-05
20120520153009,pong290,fine,0,50,TZ,TZ,C_66,0.000118641530135
20120518162635,hippocampus,sml,0,250,FX,FX,C_11,3.34076456419e-05
20120518162635,hippocampus,sml,0,250,FX,FY,C_12,1.29327528248e-06
20120518162635,hippocampus,sml,0,250,FX,FZ,C_13,3.65530469222e-06
20120518162635,hippocampus,sml,0,250,FX,TX,C_14,0.00010692934853
20120518162635,hippocampus,sml,0,250,FX,TY,C_15,0.000909249003016
20120518162635,hippocampus,sml,0,250,FX,TZ,C_16,9.25458722512e-05
20120518162635,hippocampus,sml,0,250,FY,FY,C_22,1.02007862633e-05
20120518162635,hippocampus,sml,0,250,FY,FZ,C_23,2.86406367564e-06
20120518162635,hippocampus,sml,0,250,FY,TX,C_24,-6.03495939951e-06
20120518162635,hippocampus,sml,0,250,FY,TY,C_25,0.000327378872936
20120518162635,hippocampus,sml,0,250,FY,TZ,C_26,-6.64856607809e-05
20120518162635,hippocampus,sml,0,250,FZ,FZ,C_33,0.000842178515208
20120518162635,hippocampus,sml,0,250,FZ,TX,C_34,0.00410235108441
20120518162635,hippocampus,sml,0,250,FZ,TY,C_35,0.00145797247595
20120518162635,hippocampus,sml,0,250,FZ,TZ,C_36,5.44913688793e-05
20120518162635,hippocampus,sml,0,250,TX,TX,C_44,0.0347701422897
20120518162635,hippocampus,sml,0,250,TX,TY,C_45,0.0183918657573
20120518162635,hippocampus,sml,0,250,TX,TZ,C_46,0.000162410166846
20120518162635,hippocampus,sml,0,250,TY,TY,C_55,0.550018808173
20120518162635,hippocampus,sml,0,250,TY,TZ,C_56,0.00449739112935
20120518162635,hippocampus,sml,0,250,TZ,TZ,C_66,0.00477799577307
20120518162635,hippocampus,sml,0,200,FX,FX,C_11,1.22314891525e-05
20120518162635,hippocampus,sml,0,200,FX,FY,C_12,3.75675322767e-07
20120518162635,hippocampus,sml,0,200,FX,FZ,C_13,-5.63610519005e-08
20120518162635,hippocampus,sml,0,200,FX,TX,C_14,3.24138079737e-05
20120518162635,hippocampus,sml,0,200,FX,TY,C_15,8.49127853725e-05
20120518162635,hippocampus,sml,0,200,FX,TZ,C_16,3.47529469549e-05
20120518162635,hippocampus,sml,0,200,FY,FY,C_22,4.63011195267e-06
20120518162635,hippocampus,sml,0,200,FY,FZ,C_23,2.43958651652e-06
20120518162635,hippocampus,sml,0,200,FY,TX,C_24,1.5803560864e-05
20120518162635,hippocampus,sml,0,200,FY,TY,C_25,9.76668067116e-05
20120518162635,hippocampus,sml,0,200,FY,TZ,C_26,-2.18260340756e-05
20120518162635,hippocampus,sml,0,200,FZ,FZ,C_33,0.000310367158922
20120518162635,hippocampus,sml,0,200,FZ,TX,C_34,0.00160978938725
20120518162635,hippocampus,sml,0,200,FZ,TY,C_35,0.000560182328086
20120518162635,hippocampus,sml,0,200,FZ,TZ,C_36,-5.7987959333e-06
20120518162635,hippocampus,sml,0,200,TX,TX,C_44,0.0139070329704
