run,modelname,treatname,angle,spd,from,to,kcenterfreq,value
20120609090806,nothing,no,0,180,W,W,64.0,nan
20120609090806,nothing,no,0,180,W,W,128.0,nan
20120609090806,nothing,no,0,80,U,U,0.015625,4.06154547421e-06
20120609090806,nothing,no,0,80,U,U,0.03125,1.23000293347e-05
20120609090806,nothing,no,0,80,U,U,0.0625,5.25083837821e-05
20120609090806,nothing,no,0,80,U,U,0.125,7.29054597452e-05
20120609090806,nothing,no,0,80,U,U,0.25,2.33134769619e-05
20120609090806,nothing,no,0,80,U,U,0.5,1.30457719494e-05
20120609090806,nothing,no,0,80,U,U,1.0,2.10700297782e-05
20120609090806,nothing,no,0,80,U,U,2.0,2.98298622889e-05
20120609090806,nothing,no,0,80,U,U,4.0,4.02935378528e-05
20120609090806,nothing,no,0,80,U,U,8.0,nan
20120609090806,nothing,no,0,80,U,U,16.0,nan
20120609090806,nothing,no,0,80,U,U,32.0,nan
20120609090806,nothing,no,0,80,U,U,64.0,nan
20120609090806,nothing,no,0,80,U,U,128.0,nan
20120609090806,nothing,no,0,80,V,V,0.015625,0.000155672708513
20120609090806,nothing,no,0,80,V,V,0.03125,0.000351653933759
20120609090806,nothing,no,0,80,V,V,0.0625,0.000386011398521
20120609090806,nothing,no,0,80,V,V,0.125,0.000418101233897
20120609090806,nothing,no,0,80,V,V,0.25,0.000151489487446
20120609090806,nothing,no,0,80,V,V,0.5,5.9863610117e-05
20120609090806,nothing,no,0,80,V,V,1.0,3.9684249956e-05
20120609090806,nothing,no,0,80,V,V,2.0,3.26195140278e-05
20120609090806,nothing,no,0,80,V,V,4.0,3.55515458912e-05
20120609090806,nothing,no,0,80,V,V,8.0,nan
20120609090806,nothing,no,0,80,V,V,16.0,nan
20120609090806,nothing,no,0,80,V,V,32.0,nan
20120609090806,nothing,no,0,80,V,V,64.0,nan
20120609090806,nothing,no,0,80,V,V,128.0,nan
20120609090806,nothing,no,0,80,W,W,0.015625,2.67506988595e-06
20120609090806,nothing,no,0,80,W,W,0.03125,8.27373380418e-06
20120609090806,nothing,no,0,80,W,W,0.0625,3.31205235476e-05
20120609090806,nothing,no,0,80,W,W,0.125,4.99697894906e-05
20120609090806,nothing,no,0,80,W,W,0.25,2.39380878388e-05
20120609090806,nothing,no,0,80,W,W,0.5,1.01299048333e-05
20120609090806,nothing,no,0,80,W,W,1.0,1.50390877755e-05
20120609090806,nothing,no,0,80,W,W,2.0,1.79112903704e-05
20120609090806,nothing,no,0,80,W,W,4.0,2.50894772236e-05
20120609090806,nothing,no,0,80,W,W,8.0,nan
20120609090806,nothing,no,0,80,W,W,16.0,nan
20120609090806,nothing,no,0,80,W,W,32.0,nan
20120609090806,nothing,no,0,80,W,W,64.0,nan
20120609090806,nothing,no,0,80,W,W,128.0,nan
20120609090806,nothing,no,0,40,U,U,0.015625,1.49120082163e-07
20120609090806,nothing,no,0,40,U,U,0.03125,4.22930703013e-07
20120609090806,nothing,no,0,40,U,U,0.0625,1.26120509452e-06
20120609090806,nothing,no,0,40,U,U,0.125,2.53389013496e-06
20120609090806,nothing,no,0,40,U,U,0.25,3.71868041893e-06
20120609090806,nothing,no,0,40,U,U,0.5,3.94942652128e-06
20120609090806,nothing,no,0,40,U,U,1.0,5.42491845354e-06
20120609090806,nothing,no,0,40,U,U,2.0,4.81419861536e-06
20120609090806,nothing,no,0,40,U,U,4.0,8.09721176197e-06
20120609090806,nothing,no,0,40,U,U,8.0,1.29725948942e-05
20120609090806,nothing,no,0,40,U,U,16.0,2.10664930896e-05
20120609090806,nothing,no,0,40,U,U,32.0,nan
20120609090806,nothing,no,0,40,U,U,64.0,nan
20120609090806,nothing,no,0,40,U,U,128.0,nan
20120609090806,nothing,no,0,40,V,V,0.015625,2.14174909055e-05
20120609090806,nothing,no,0,40,V,V,0.03125,5.02879191827e-05
20120609090806,nothing,no,0,40,V,V,0.0625,0.000121657349029
20120609090806,nothing,no,0,40,V,V,0.125,0.000109076461936
20120609090806,nothing,no,0,40,V,V,0.25,4.68856915038e-05
20120609090806,nothing,no,0,40,V,V,0.5,2.62704521553e-05
20120609090806,nothing,no,0,40,V,V,1.0,1.56261814578e-05
20120609090806,nothing,no,0,40,V,V,2.0,7.31120335843e-06
20120609090806,nothing,no,0,40,V,V,4.0,3.94175349314e-06
20120609090806,nothing,no,0,40,V,V,8.0,2.94106813684e-06
20120609090806,nothing,no,0,40,V,V,16.0,2.76084841491e-06
20120609090806,nothing,no,0,40,V,V,32.0,nan
20120609090806,nothing,no,0,40,V,V,64.0,nan
20120609090806,nothing,no,0,40,V,V,128.0,nan
20120609090806,nothing,no,0,40,W,W,0.015625,5.19406904315e-08
20120609090806,nothing,no,0,40,W,W,0.03125,1.38544308616e-07
20120609090806,nothing,no,0,40,W,W,0.0625,3.95306090657e-07
20120609090806,nothing,no,0,40,W,W,0.125,8.42341074854e-07
20120609090806,nothing,no,0,40,W,W,0.25,1.32999649378e-06
20120609090806,nothing,no,0,40,W,W,0.5,1.46044759992e-06
20120609090806,nothing,no,0,40,W,W,1.0,1.95990538413e-06
20120609090806,nothing,no,0,40,W,W,2.0,1.57704989406e-06
20120609090806,nothing,no,0,40,W,W,4.0,2.61024974495e-06
20120609090806,nothing,no,0,40,W,W,8.0,4.07617226759e-06
20120609090806,nothing,no,0,40,W,W,16.0,6.93335003228e-06
20120609090806,nothing,no,0,40,W,W,32.0,nan
20120609090806,nothing,no,0,40,W,W,64.0,nan
20120609090806,nothing,no,0,40,W,W,128.0,nan
20120609090806,nothing,no,0,100,U,U,0.015625,2.71158751561e-06
20120609090806,nothing,no,0,100,U,U,0.03125,5.55206548364e-06
20120609090806,nothing,no,0,100,U,U,0.0625,7.37587863651e-06
20120609090806,nothing,no,0,100,U,U,0.125,3.11043302773e-05
20120609090806,nothing,no,0,100,U,U,0.25,1.31292670126e-05
20120609090806,nothing,no,0,100,U,U,0.5,1.16839122554e-05
