run,modelname,treatname,angle,spd,from,to,frequency,Pxx
20120521164435,noisefloor,no,0,0,FX,FX,10.2183992191,7.59505959226e-10
20120521164435,noisefloor,no,0,0,FX,FX,10.2946559297,7.24550857973e-10
20120521164435,noisefloor,no,0,0,FX,FX,10.3709126403,6.38121045035e-10
20120521164435,noisefloor,no,0,0,FX,FX,10.4471693509,6.96748396066e-10
20120521164435,noisefloor,no,0,0,FX,FX,10.5234260615,6.34841503138e-10
20120521164435,noisefloor,no,0,0,FX,FX,10.5996827721,6.77225849695e-10
20120521164435,noisefloor,no,0,0,FX,FX,10.6759394827,8.50019327291e-10
20120521164435,noisefloor,no,0,0,FX,FX,10.7521961933,8.45709513428e-10
20120521164435,noisefloor,no,0,0,FX,FX,10.8284529039,7.35877529857e-10
20120521164435,noisefloor,no,0,0,FX,FX,10.9047096144,5.6666903008e-10
20120521164435,noisefloor,no,0,0,FX,FX,10.980966325,6.04064909394e-10
20120521164435,noisefloor,no,0,0,FX,FX,11.0572230356,7.92028014079e-10
20120521164435,noisefloor,no,0,0,FX,FX,11.1334797462,7.29488437935e-10
20120521164435,noisefloor,no,0,0,FX,FX,11.2097364568,6.46930363647e-10
20120521164435,noisefloor,no,0,0,FX,FX,11.2859931674,6.24683084431e-10
20120521164435,noisefloor,no,0,0,FX,FX,11.362249878,5.95274008392e-10
20120521164435,noisefloor,no,0,0,FX,FX,11.4385065886,8.18507209731e-10
20120521164435,noisefloor,no,0,0,FX,FX,11.5147632992,7.58083369987e-10
20120521164435,noisefloor,no,0,0,FX,FX,11.5910200098,6.84236882285e-10
20120521164435,noisefloor,no,0,0,FX,FX,11.6672767204,6.44780546425e-10
20120521164435,noisefloor,no,0,0,FX,FX,11.7435334309,6.81752807103e-10
20120521164435,noisefloor,no,0,0,FX,FX,11.8197901415,6.18752710201e-10
20120521164435,noisefloor,no,0,0,FX,FX,11.8960468521,5.92161518519e-10
20120521164435,noisefloor,no,0,0,FX,FX,11.9723035627,6.58170744812e-10
20120521164435,noisefloor,no,0,0,FX,FX,12.0485602733,5.90665952486e-10
20120521164435,noisefloor,no,0,0,FX,FX,12.1248169839,5.86251408536e-10
20120521164435,noisefloor,no,0,0,FX,FX,12.2010736945,5.93399040735e-10
20120521164435,noisefloor,no,0,0,FX,FX,12.2773304051,6.7034837934e-10
20120521164435,noisefloor,no,0,0,FX,FX,12.3535871157,7.77752940953e-10
20120521164435,noisefloor,no,0,0,FX,FX,12.4298438263,7.58096072333e-10
20120521164435,noisefloor,no,0,0,FX,FX,12.5061005368,6.58788772118e-10
20120521164435,noisefloor,no,0,0,FX,FX,12.5823572474,7.49597472213e-10
20120521164435,noisefloor,no,0,0,FX,FX,12.658613958,7.45786482258e-10
20120521164435,noisefloor,no,0,0,FX,FX,12.7348706686,6.38086037395e-10
20120521164435,noisefloor,no,0,0,FX,FX,12.8111273792,6.6074487393e-10
20120521164435,noisefloor,no,0,0,FX,FX,12.8873840898,7.24730774034e-10
20120521164435,noisefloor,no,0,0,FX,FX,12.9636408004,7.45208011697e-10
20120521164435,noisefloor,no,0,0,FX,FX,13.039897511,7.00437334056e-10
20120521164435,noisefloor,no,0,0,FX,FX,13.1161542216,7.59046192592e-10
20120521164435,noisefloor,no,0,0,FX,FX,13.1924109322,6.66679664285e-10
20120521164435,noisefloor,no,0,0,FX,FX,13.2686676428,5.91896341302e-10
20120521164435,noisefloor,no,0,0,FX,FX,13.3449243533,6.82005454563e-10
20120521164435,noisefloor,no,0,0,FX,FX,13.4211810639,6.71648968244e-10
20120521164435,noisefloor,no,0,0,FX,FX,13.4974377745,5.60927138437e-10
20120521164435,noisefloor,no,0,0,FX,FX,13.5736944851,5.38288157368e-10
20120521164435,noisefloor,no,0,0,FX,FX,13.6499511957,5.82689132517e-10
20120521164435,noisefloor,no,0,0,FX,FX,13.7262079063,7.61801338172e-10
20120521164435,noisefloor,no,0,0,FX,FX,13.8024646169,9.92373252501e-10
20120521164435,noisefloor,no,0,0,FX,FX,13.8787213275,9.77601596162e-10
20120521164435,noisefloor,no,0,0,FX,FX,13.9549780381,7.70646016137e-10
20120521164435,noisefloor,no,0,0,FX,FX,14.0312347487,7.63797587174e-10
20120521164435,noisefloor,no,0,0,FX,FX,14.1074914592,8.51392412668e-10
20120521164435,noisefloor,no,0,0,FX,FX,14.1837481698,8.26828210332e-10
20120521164435,noisefloor,no,0,0,FX,FX,14.2600048804,9.51369022152e-10
20120521164435,noisefloor,no,0,0,FX,FX,14.336261591,8.35982712956e-10
20120521164435,noisefloor,no,0,0,FX,FX,14.4125183016,7.20231111687e-10
20120521164435,noisefloor,no,0,0,FX,FX,14.4887750122,8.66531787177e-10
20120521164435,noisefloor,no,0,0,FX,FX,14.5650317228,9.31423488207e-10
20120521164435,noisefloor,no,0,0,FX,FX,14.6412884334,8.52700773581e-10
20120521164435,noisefloor,no,0,0,FX,FX,14.717545144,8.13616830277e-10
20120521164435,noisefloor,no,0,0,FX,FX,14.7938018546,7.90477918602e-10
20120521164435,noisefloor,no,0,0,FX,FX,14.8700585652,7.46209032815e-10
20120521164435,noisefloor,no,0,0,FX,FX,14.9463152757,7.01567286963e-10
20120521164435,noisefloor,no,0,0,FX,FX,15.0225719863,5.93713814857e-10
20120521164435,noisefloor,no,0,0,FX,FX,15.0988286969,7.40819795337e-10
20120521164435,noisefloor,no,0,0,FX,FX,15.1750854075,8.08118547467e-10
20120521164435,noisefloor,no,0,0,FX,FX,15.2513421181,7.06895758762e-10
20120521164435,noisefloor,no,0,0,FX,FX,15.3275988287,7.77051393441e-10
20120521164435,noisefloor,no,0,0,FX,FX,15.4038555393,8.78702427941e-10
20120521164435,noisefloor,no,0,0,FX,FX,15.4801122499,9.76465215264e-10
20120521164435,noisefloor,no,0,0,FX,FX,15.5563689605,8.78117194652e-10
20120521164435,noisefloor,no,0,0,FX,FX,15.6326256711,8.43521018198e-10
