run,modelname,treatname,angle,spd,from,to,kcenterfreq,value
20120521085558,pong1,med,0,0,U,U,1.0,7.6769671715e-05
20120521085558,pong1,med,0,0,U,U,2.0,2.1880977212e-05
20120521085558,pong1,med,0,0,U,U,4.0,1.5154198592e-05
20120521085558,pong1,med,0,0,U,U,8.0,8.55352368846e-06
20120521085558,pong1,med,0,0,U,U,16.0,1.37962062185e-05
20120521085558,pong1,med,0,0,U,U,32.0,2.2866290269e-05
20120521085558,pong1,med,0,0,U,U,64.0,3.75613740962e-05
20120521085558,pong1,med,0,0,U,U,128.0,nan
20120521085558,pong1,med,0,0,V,V,0.015625,0.000771233396134
20120521085558,pong1,med,0,0,V,V,0.03125,0.00154932905779
20120521085558,pong1,med,0,0,V,V,0.0625,0.00321127317682
20120521085558,pong1,med,0,0,V,V,0.125,0.00701242495193
20120521085558,pong1,med,0,0,V,V,0.25,0.0165591007622
20120521085558,pong1,med,0,0,V,V,0.5,0.029016370721
20120521085558,pong1,med,0,0,V,V,1.0,0.0108446731684
20120521085558,pong1,med,0,0,V,V,2.0,0.00377486513249
20120521085558,pong1,med,0,0,V,V,4.0,0.00178208628404
20120521085558,pong1,med,0,0,V,V,8.0,0.000879594932663
20120521085558,pong1,med,0,0,V,V,16.0,0.000445229683391
20120521085558,pong1,med,0,0,V,V,32.0,0.000277489962862
20120521085558,pong1,med,0,0,V,V,64.0,0.000163947105999
20120521085558,pong1,med,0,0,V,V,128.0,nan
20120521085558,pong1,med,0,0,W,W,0.015625,4.56140512421e-06
20120521085558,pong1,med,0,0,W,W,0.03125,9.16126643297e-06
20120521085558,pong1,med,0,0,W,W,0.0625,1.89807485095e-05
20120521085558,pong1,med,0,0,W,W,0.125,4.14212100816e-05
20120521085558,pong1,med,0,0,W,W,0.25,9.77226880791e-05
20120521085558,pong1,med,0,0,W,W,0.5,0.000171254933302
20120521085558,pong1,med,0,0,W,W,1.0,6.4325653804e-05
20120521085558,pong1,med,0,0,W,W,2.0,2.18445380426e-05
20120521085558,pong1,med,0,0,W,W,4.0,1.15336190904e-05
20120521085558,pong1,med,0,0,W,W,8.0,1.11266630589e-05
20120521085558,pong1,med,0,0,W,W,16.0,7.84307779364e-06
20120521085558,pong1,med,0,0,W,W,32.0,7.68143940866e-06
20120521085558,pong1,med,0,0,W,W,64.0,1.05227616652e-05
20120521085558,pong1,med,0,0,W,W,128.0,nan
20120521085558,pong1,med,0,100,U,U,0.015625,2.36205627548e-05
20120521085558,pong1,med,0,100,U,U,0.03125,6.03319659478e-05
20120521085558,pong1,med,0,100,U,U,0.0625,0.000120370671785
20120521085558,pong1,med,0,100,U,U,0.125,0.000388740421874
20120521085558,pong1,med,0,100,U,U,0.25,0.000583269273313
20120521085558,pong1,med,0,100,U,U,0.5,0.0011435639286
20120521085558,pong1,med,0,100,U,U,1.0,0.00195383640276
20120521085558,pong1,med,0,100,U,U,2.0,0.00388501603114
20120521085558,pong1,med,0,100,U,U,4.0,0.0110970815474
20120521085558,pong1,med,0,100,U,U,8.0,nan
20120521085558,pong1,med,0,100,U,U,16.0,nan
20120521085558,pong1,med,0,100,U,U,32.0,nan
20120521085558,pong1,med,0,100,U,U,64.0,nan
20120521085558,pong1,med,0,100,U,U,128.0,nan
20120521085558,pong1,med,0,100,V,V,0.015625,0.000430550151597
20120521085558,pong1,med,0,100,V,V,0.03125,0.000889442425475
20120521085558,pong1,med,0,100,V,V,0.0625,0.000651524544149
20120521085558,pong1,med,0,100,V,V,0.125,0.000640965092156
20120521085558,pong1,med,0,100,V,V,0.25,0.000436239593987
20120521085558,pong1,med,0,100,V,V,0.5,0.000670261189079
20120521085558,pong1,med,0,100,V,V,1.0,0.00167606051611
20120521085558,pong1,med,0,100,V,V,2.0,0.00282766490684
20120521085558,pong1,med,0,100,V,V,4.0,0.00754297968217
20120521085558,pong1,med,0,100,V,V,8.0,nan
20120521085558,pong1,med,0,100,V,V,16.0,nan
20120521085558,pong1,med,0,100,V,V,32.0,nan
20120521085558,pong1,med,0,100,V,V,64.0,nan
20120521085558,pong1,med,0,100,V,V,128.0,nan
20120521085558,pong1,med,0,100,W,W,0.015625,2.87176191684e-05
20120521085558,pong1,med,0,100,W,W,0.03125,7.36797485643e-05
20120521085558,pong1,med,0,100,W,W,0.0625,0.000141148521935
20120521085558,pong1,med,0,100,W,W,0.125,0.000251983998639
20120521085558,pong1,med,0,100,W,W,0.25,0.000412104544741
20120521085558,pong1,med,0,100,W,W,0.5,0.000758807059175
20120521085558,pong1,med,0,100,W,W,1.0,0.0012961503273
20120521085558,pong1,med,0,100,W,W,2.0,0.00202233087553
20120521085558,pong1,med,0,100,W,W,4.0,0.00366595001723
20120521085558,pong1,med,0,100,W,W,8.0,nan
20120521085558,pong1,med,0,100,W,W,16.0,nan
20120521085558,pong1,med,0,100,W,W,32.0,nan
20120521085558,pong1,med,0,100,W,W,64.0,nan
20120521085558,pong1,med,0,100,W,W,128.0,nan
