run,modelname,treatname,angle,spd,t,channel,value
20120521164435,noisefloor,no,0,0,27.15625,V,-0.01
20120521164435,noisefloor,no,0,0,27.1875,V,-0.01
20120521164435,noisefloor,no,0,0,27.21875,V,-0.01
20120521164435,noisefloor,no,0,0,27.25,V,-0.01
20120521164435,noisefloor,no,0,0,27.28125,V,-0.01
20120521164435,noisefloor,no,0,0,27.3125,V,-0.01
20120521164435,noisefloor,no,0,0,27.34375,V,-0.01
20120521164435,noisefloor,no,0,0,27.375,V,-0.01
20120521164435,noisefloor,no,0,0,27.40625,V,-0.01
20120521164435,noisefloor,no,0,0,27.4375,V,-0.01
20120521164435,noisefloor,no,0,0,27.46875,V,-0.01
20120521164435,noisefloor,no,0,0,27.5,V,-0.01
20120521164435,noisefloor,no,0,0,27.53125,V,-0.01
20120521164435,noisefloor,no,0,0,27.5625,V,-0.01
20120521164435,noisefloor,no,0,0,27.59375,V,-0.01
20120521164435,noisefloor,no,0,0,27.625,V,-0.01
20120521164435,noisefloor,no,0,0,27.65625,V,-0.01
20120521164435,noisefloor,no,0,0,27.6875,V,-0.01
20120521164435,noisefloor,no,0,0,27.71875,V,-0.01
20120521164435,noisefloor,no,0,0,27.75,V,-0.01
20120521164435,noisefloor,no,0,0,27.78125,V,-0.01
20120521164435,noisefloor,no,0,0,27.8125,V,-0.01
20120521164435,noisefloor,no,0,0,27.84375,V,-0.01
20120521164435,noisefloor,no,0,0,27.875,V,-0.01
20120521164435,noisefloor,no,0,0,27.90625,V,-0.01
20120521164435,noisefloor,no,0,0,27.9375,V,-0.01
20120521164435,noisefloor,no,0,0,27.96875,V,-0.01
20120521164435,noisefloor,no,0,0,28.0,V,-0.01
20120521164435,noisefloor,no,0,0,28.03125,V,-0.01
20120521164435,noisefloor,no,0,0,28.0625,V,-0.01
20120521164435,noisefloor,no,0,0,28.09375,V,-0.01
20120521164435,noisefloor,no,0,0,28.125,V,-0.01
20120521164435,noisefloor,no,0,0,28.15625,V,-0.01
20120521164435,noisefloor,no,0,0,28.1875,V,-0.01
20120521164435,noisefloor,no,0,0,28.21875,V,-0.01
20120521164435,noisefloor,no,0,0,28.25,V,-0.01
20120521164435,noisefloor,no,0,0,28.28125,V,-0.01
20120521164435,noisefloor,no,0,0,28.3125,V,-0.01
20120521164435,noisefloor,no,0,0,28.34375,V,-0.01
20120521164435,noisefloor,no,0,0,28.375,V,-0.01
20120521164435,noisefloor,no,0,0,28.40625,V,-0.01
20120521164435,noisefloor,no,0,0,28.4375,V,-0.01
20120521164435,noisefloor,no,0,0,28.46875,V,-0.01
20120521164435,noisefloor,no,0,0,28.5,V,-0.01
20120521164435,noisefloor,no,0,0,28.53125,V,-0.01
20120521164435,noisefloor,no,0,0,28.5625,V,-0.01
