run,modelname,treatname,angle,spd,from,to,kfrequency,Pxx
20120521164435,noisefloor,no,0,0,U,U,0.861972821247,2.14570491675e-07
20120521164435,noisefloor,no,0,0,U,U,0.89828060843,2.17371850978e-07
20120521164435,noisefloor,no,0,0,U,U,0.936117742454,2.20291208385e-07
20120521164435,noisefloor,no,0,0,U,U,0.975548642053,2.23333534178e-07
20120521164435,noisefloor,no,0,0,U,U,1.01664043939,2.26504007999e-07
20120521164435,noisefloor,no,0,0,U,U,1.05946309436,2.29808027666e-07
20120521164435,noisefloor,no,0,0,U,U,1.10408951367,2.33251218359e-07
20120521164435,noisefloor,no,0,0,U,U,1.15059567501,2.36839442204e-07
20120521164435,noisefloor,no,0,0,U,U,1.19906075636,2.40578808249e-07
20120521164435,noisefloor,no,0,0,U,U,1.24956727082,2.44475682863e-07
20120521164435,noisefloor,no,0,0,U,U,1.30220120709,2.48536700581e-07
20120521164435,noisefloor,no,0,0,U,U,1.35705217586,2.52768775395e-07
20120521164435,noisefloor,no,0,0,U,U,1.41421356237,2.57179112524e-07
20120521164435,noisefloor,no,0,0,U,U,1.47378268542,2.61775220688e-07
20120521164435,noisefloor,no,0,0,U,U,1.53586096304,2.66564924882e-07
20120521164435,noisefloor,no,0,0,U,U,1.60055408516,2.71556379707e-07
20120521164435,noisefloor,no,0,0,U,U,1.66797219356,2.76758083249e-07
20120521164435,noisefloor,no,0,0,U,U,1.73823006938,2.82178891548e-07
20120521164435,noisefloor,no,0,0,U,U,1.81144732853,2.87828033675e-07
20120521164435,noisefloor,no,0,0,U,U,1.88774862536,2.93715127446e-07
20120521164435,noisefloor,no,0,0,U,U,1.96726386489,2.99850195796e-07
20120521164435,noisefloor,no,0,0,U,U,2.05012842393,3.06243683844e-07
20120521164435,noisefloor,no,0,0,U,U,2.13648338163,3.12906476675e-07
20120521164435,noisefloor,no,0,0,U,U,2.22647575961,3.19849917873e-07
20120521164435,noisefloor,no,0,0,U,U,2.32025877232,3.27085828832e-07
20120521164435,noisefloor,no,0,0,U,U,2.41799208785,3.34626528884e-07
20120521164435,noisefloor,no,0,0,U,U,2.51984209979,3.42484856275e-07
20120521164435,noisefloor,no,0,0,U,U,2.62598221052,3.50674190017e-07
20120521164435,noisefloor,no,0,0,U,U,2.73659312643,3.59208472671e-07
