run,modelname,treatname,angle,spd,centerfreq,value
20120622135700,nothing,no,0,50,1024.0,5.96048970355e-07
20120622135700,nothing,no,0,50,2048.0,6.23126159472e-07
20120622135700,nothing,no,0,50,4096.0,1.58489359489e-07
20120622135700,nothing,no,0,50,8192.0,5.62630455491e-08
20120622135700,nothing,no,0,50,16384.0,1.98122537595e-08
20120622135700,nothing,no,0,0,8.0,1.38041351926e-07
20120622135700,nothing,no,0,0,16.0,1.9490973743e-06
20120622135700,nothing,no,0,0,32.0,3.54081200789e-06
20120622135700,nothing,no,0,0,64.0,4.61428141855e-06
20120622135700,nothing,no,0,0,128.0,1.04106356776e-06
20120622135700,nothing,no,0,0,256.0,1.27116405668e-07
20120622135700,nothing,no,0,0,512.0,2.65482335748e-07
20120622135700,nothing,no,0,0,1024.0,1.32544892614e-07
20120622135700,nothing,no,0,0,2048.0,1.22496645799e-07
20120622135700,nothing,no,0,0,4096.0,1.79623715086e-08
20120622135700,nothing,no,0,0,8192.0,1.33744703759e-08
20120622135700,nothing,no,0,0,16384.0,5.62382313985e-09
20120628072400,nothing,med,0,100,8.0,0.000759266447755
20120628072400,nothing,med,0,100,16.0,0.00504853505476
20120628072400,nothing,med,0,100,32.0,0.00434339814381
20120628072400,nothing,med,0,100,64.0,0.00104605115286
20120628072400,nothing,med,0,100,128.0,7.35363558848e-05
20120628072400,nothing,med,0,100,256.0,3.11837438774e-06
20120628072400,nothing,med,0,100,512.0,6.25301339616e-06
20120628072400,nothing,med,0,100,1024.0,1.59024349252e-06
20120628072400,nothing,med,0,100,2048.0,2.20119218605e-06
20120628072400,nothing,med,0,100,4096.0,1.16855822418e-07
20120628072400,nothing,med,0,100,8192.0,8.66337894812e-08
20120628072400,nothing,med,0,100,16384.0,6.96836432889e-08
20120628072400,nothing,med,0,50,8.0,5.95607545189e-05
20120628072400,nothing,med,0,50,16.0,7.92480869268e-05
20120628072400,nothing,med,0,50,32.0,3.04450661854e-05
20120628072400,nothing,med,0,50,64.0,2.41804082034e-05
20120628072400,nothing,med,0,50,128.0,2.58866387258e-06
20120628072400,nothing,med,0,50,256.0,1.06088079687e-06
20120628072400,nothing,med,0,50,512.0,3.32532038222e-06
20120628072400,nothing,med,0,50,1024.0,2.6755575441e-07
20120628072400,nothing,med,0,50,2048.0,3.70726614816e-07
20120628072400,nothing,med,0,50,4096.0,6.70775871108e-08
20120628072400,nothing,med,0,50,8192.0,6.12601026146e-08
20120628072400,nothing,med,0,50,16384.0,2.235884445e-08
20120628072400,nothing,coarse,0,100,8.0,1.17796440811e-05
20120628072400,nothing,coarse,0,100,16.0,8.25878453843e-05
20120628072400,nothing,coarse,0,100,32.0,0.000148869785914
20120628072400,nothing,coarse,0,100,64.0,0.000101466409175
